pol,mode_q,pole_real_n,pole_real_s,pole_imag_n,pole_imag_s,residue_real_n,residue_real_s,residue_imag_n,residue_imag_s,t_plate,t_samp
x,22,-35639.26120481204,162.5292742801394,484510878021.9558,161.73596033155331,0.2776599279726156,0.007300780908545586,-2.1816373696957383,0.007330357153032577,0.70522,1.0289993398531618
x,23,-41909.605528135835,1134.6928821477281,506041227105.0788,1138.1909468398414,-0.37184979613572067,0.008328320830989288,-0.20174776926333984,0.008560837766931855,0.701236,1.0046379993238157
x,24,-133873.7438286054,641.3734405669918,527571584476.6272,641.3635541115611,-1.7229726367849705,0.00867459758849456,-1.510188431014069,0.008679144740933478,0.71511,1.0759689645983972
x,25,-504464.26254993625,606.4948960762856,549102667670.1543,706.2321718310342,-32.7330899428336,0.09193558781844646,45.18847602090547,0.09478014356323897,0.718912,1.1361768248465054
x,26,-480008.1416303354,1044.7826390598327,570626626529.1029,1087.4900725303753,7.60360089360669,0.04030712269633269,-14.504554841870474,0.04162734092085113,0.720592,1.1023639752563652
x,27,-101282.92919848824,1603.640846528539,592157953908.1682,1527.178561456393,0.3390338018442026,0.005737585504137296,0.30827314686427504,0.005694816548450978,0.731488,1.1736033516871298
x,28,-30102.371612415085,184.97477308115504,613687818276.5239,183.8062090926208,-0.5398847491199386,0.0030394671800265194,-0.40267072029671125,0.0029779431939760737,0.728376,1.1042537606490919
x,29,-16491.87299952912,576.9179117960157,635217236869.9243,572.8205959029658,0.06211961241336576,0.002044010656813421,-0.04914919553578952,0.0019952704927409088,0.713579,1.0628785165451933
x,30,-14131.75279169127,847.3313716980857,656746450649.6879,845.6346061707359,-0.021375002293702608,0.0013668123041219607,0.022449842604788457,0.0013377836189481852,0.713424,1.0662399993577172
x,31,-12907.307538833467,804.9255601625256,678275537368.0996,804.9060963183409,0.012423978846304279,0.0023360844084929218,-0.0503566669872451,0.002336147050186115,0.728763,1.089645755511381
y,22,-49743.24058411633,1392.9151987421376,484514455433.22375,1397.051216889901,0.3166071276164838,0.008444430486616762,0.2498518001784367,0.008839731155469899,0.70522,1.0289993398531618
y,23,-50407.39615504859,810.2492750684379,506044638374.77045,821.468757252034,0.7022715407684502,0.009332151826445511,0.35757786466302066,0.009702275226016738,0.701236,1.0046379993238157
y,24,-76383.14807131865,171.20981079273474,527574851617.5609,171.21482881487012,0.31827456109900504,0.005939204129396726,-3.5031572818356023,0.005938527104698832,0.71511,1.0759689645983972
y,25,-650024.2386120468,2946.9301877946236,549105614045.95905,3735.612626593254,-9.229755328755083,0.15112038119122115,-16.232935762704116,0.11712091345666038,0.718912,1.1361768248465054
y,26,-884957.4995178413,5864.777436897458,570629337218.9994,5719.4398382731715,5.801174655870363,0.058226759745710496,5.5861304054755365,0.06556192328709644,0.720592,1.1023639752563652
y,27,-102844.49027698541,1360.4791259951269,592160836026.7723,1442.8439395261044,0.3728064266093397,0.008915876719405105,-0.6756869006931323,0.008753440730902038,0.731488,1.1736033516871298
y,28,-32833.18783652331,80.95878668389052,613690627682.1985,80.30264683932828,1.5290602341643762,0.00313438791590831,0.8599229870799515,0.003148892207144018,0.728376,1.1042537606490919
y,29,-15932.720923063815,239.25554150779078,635219961763.687,236.3028201705422,-0.11474793676975889,0.0021288087169346517,-0.15910845724223854,0.0021491362538062202,0.713579,1.0628785165451933
y,30,-8686.047781911237,242.94474155663886,656749096729.0613,241.31205642169263,-0.03464605023431192,0.0010072782249863036,0.03629973903464566,0.0010064094325343072,0.713424,1.0662399993577172
y,31,-9022.44558349604,404.2119800205594,678278102615.0621,407.06921048242555,0.10933813096587912,0.003763669138891024,-0.04122270732306774,0.003804512832640065,0.728763,1.089645755511381
